"","percentHsEdu","percentBachelorsEdu","perCapitaIncome","ueRate","uninsuredRate","medianAge","y","x"
"26968",87.4,17.6,57554,0.843881856540084,10.2,59.1,10.2,57554
"26969",73.5,17.2,24766,6.95476029709656,23.2,33.6,23.2,24766
"26970",71.1,8.6,20689,3.30267558528428,13.5,33.6,13.5,20689
"26971",90.5,27.3,35524,2.3614755363482,12.3,38.5,12.3,35524
"26972",73.8,18.9,27599,6.54761904761905,0,62.8,0,27599
"26973",84.7,15.6,36908,5.18902891030393,20.9,48.3,20.9,36908
"26974",90.1,19.8,27724,3.35235378031384,14.9,44.3,14.9,27724
"26975",78.5,27.7,43228,0,10.7,58.5,10.7,43228
"26976",88.6,28.7,28453,3.61237412480125,15.2,36.2,15.2,28453
"26977",96.6,47.4,41823,4.35984519390254,8,43.9,8,41823
"26978",92.5,29.4,33576,2.57613922601328,17.1,49.6,17.1,33576
"26979",64.1,6,21317,3.28667072428484,29.1,33.8,29.1,21317
"26980",80,15.6,29359,10.1010101010101,10.3,48.3,10.3,29359
"26981",80.2,30.2,44819,0,0,37.2,0,44819
"26982",51.3,0,4347,25,24.4,18.2,24.4,4347
"26983",100,32.5,23810,0,0,61.6,0,23810
"26984",71.7,0,30756,0,16.5,48.5,16.5,30756
"26985",84.8,13.6,24947,0.757575757575758,14.6,32.4,14.6,24947
"26986",81,18.7,25219,2.55754475703325,23.7,35.3,23.7,25219
"26987",92.4,27.5,28176,5.40130768501848,14.5,35.1,14.5,28176
"26988",NA,NA,NA,0,NA,NA,NA,NA
"26989",77.8,14,24260,7.04845814977974,15.2,40.1,15.2,24260
"26990",96,24.4,33269,4.50132391879965,7,42.3,7,33269
"26991",92.1,35.1,32919,4.06040445641269,8.1,36.5,8.1,32919
"26992",83.2,18.6,25790,4.87762084393368,16,38.2,16,25790
"26993",80.7,8.7,20000,4.35897435897436,22.9,34.9,22.9,20000
"26994",85.6,16.4,27697,9.02912621359223,20.2,46.8,20.2,27697
"26995",96.8,21.9,34443,0,5.7,44.7,5.7,34443
"26996",87.4,15.1,21805,26.3959390862944,24.1,31.4,24.1,21805
"26997",93,38.5,45257,3.81106831542672,10.3,45.1,10.3,45257
"26998",78.3,15.3,39151,7.43083003952569,5.7,55.9,5.7,39151
"26999",70.6,14.9,18747,5.52053901325799,26.7,35.6,26.7,18747
"27000",63.9,12.5,14321,11.1377506538797,31.4,30,31.4,14321
"27001",65.8,13.8,15408,4.50361604207758,23.3,33.6,23.3,15408
"27002",76.7,20.4,26829,6.7521631644005,22.3,37.9,22.3,26829
"27003",89.4,33.3,40280,7.32600732600733,11.2,57.5,11.2,40280
"27004",53.7,5.3,11900,11.4680902693521,27.4,32,27.4,11900
"27005",62.3,6.9,12150,4.27107061503417,26.7,32.5,26.7,12150
"27006",93.7,58.6,55268,5.0513698630137,8.8,42,8.8,55268
"27007",69.9,12.6,18306,7.64276758235495,21.3,35.3,21.3,18306
"27008",58.8,5.2,14066,10.0235928547354,27.8,34,27.8,14066
"27009",79.4,31.1,31511,5.57669687954058,16.7,38.7,16.7,31511
"27010",82.3,22.3,23686,5.03222388982078,21.7,33.7,21.7,23686
"27011",68.3,6.5,14122,9.23872875092387,24.2,31.7,24.2,14122
"27012",92.9,64.7,51450,0.284629981024668,11.5,32.3,11.5,51450
"27013",89,34.7,29446,5.87169874899962,19.2,34,19.2,29446
"27014",90.3,23.3,25020,5.50348078715124,20,35.3,20,25020
"27015",82.6,20.8,20598,6.3815710333213,18.8,33.2,18.8,20598
"27016",85.1,12.5,16793,6.58558291308217,18.1,31.5,18.1,16793
"27017",69,10.5,15221,11.3373003445036,22.1,34.3,22.1,15221
"27018",69.8,6.9,15932,6.96520126540853,22.2,32.9,22.2,15932
"27019",80.7,14.8,20188,3.91552614882625,14,32.6,14,20188
"27020",76.6,11.4,18075,8.16215162736309,19.3,32.4,19.3,18075
"27021",73.2,9.1,16796,7.04407521639638,20.2,31.2,20.2,16796
"27022",66.8,8,14489,7.51944684528954,24.4,34.9,24.4,14489
"27023",68.4,7.6,16183,9.92184845395855,22.9,36.4,22.9,16183
"27024",71.7,6.9,15653,8.88312686065495,21.6,30.3,21.6,15653
"27025",71.1,12,17025,6.3166250850533,22,34.1,22,17025
"27026",89,32.1,24347,5.22454424188528,22.2,30.6,22.2,24347
"27027",93.3,50.1,37333,4.94323072508915,14,34.6,14,37333
"27028",96.9,59,44680,4.49857362299759,7.5,44.9,7.5,44680
"27029",96.6,49.4,39705,3.54101716997813,9.2,39.8,9.2,39705
"27030",90.3,21.7,25409,4.58128871369962,16.6,35,16.6,25409
"27031",95.3,34.8,16070,5.37525354969574,4.2,20.2,4.2,16070
"27032",82.9,10.6,38171,0,22.1,31.7,22.1,38171
"27033",100,46.3,15661,3.24171952078929,0,20.4,0,15661
"27034",55.9,4.1,13041,8.25143460193919,25.7,34,25.7,13041
"27035",86.4,20.6,23350,5.72601890593522,16.6,35.5,16.6,23350
"27036",87.2,22.2,24769,6.40978140051871,14.7,38.5,14.7,24769
"27037",92.6,40.5,28636,5.68013372441417,13.1,31.9,13.1,28636
"27038",63.8,7.4,13771,10.2513853223409,27.8,28.2,27.8,13771
